Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
14,Chen Syuan Wu (TPE),2.0,3.0,1.0,11:20,60,44 m,RED,0.0,"No tag,under ap,dqpull",Depth World Championship,Depth Competition,2022-08-23,World Championship,2022-08-23,Chen Syuan Wu,TPE,8,3,1,1
179,Chiara Obino (ITA),2.0,3.0,,00:00,80,80 m,RED,0.0,DQBO,AIDA Team World Championships 2014,World Championship,2014-09-19,World Championship,2014-09-19,Chiara Obino,ITA,9,1,1,1
50,Chiara Obino (ITA),2.0,3.0,,00:00,77,77 m,RED,0.0,DQSP,FreedivingWorld Competition,Depth Competition,2015-05-25,World Championship,2015-05-25,Chiara Obino,ITA,5,2,2,1
51,Chiara Obino (ITA),2.0,1.0,,00:00,43,43 m,RED,0.0,DQSP,FreedivingWorld Competition,Depth Competition,2015-05-25,World Championship,2015-05-25,Chiara Obino,ITA,5,3,1,2
11,Christa Unterhauser (ITA),2.0,3.0,,00:00,35,35 m,RED,0.0,DQSP,Blood Red Philippine Depth Challenge,Mixed Competition,2012-03-31,other,2012-03-31,Christa Unterhauser,ITA,3,1,1,1
10,Christiane Kudling (DEU),2.0,2.0,,00:00,55,55 m,RED,0.0,Dqbo-surface,AIDA  Azul Freediving Challenge - yum kin 2021,Depth Competition,2021-05-13,other,2021-05-13,Christiane Kudling,DEU,5,1,1,1
16,Christiane Kudling (DEU),2.0,2.0,,00:00,55,55 m,RED,0.0,Dqsp,AIDA Azul freediving challenge 2022 - June edition,Depth Competition,2022-06-04,other,2022-06-04,Christiane Kudling,DEU,6,2,2,1
16,Christina Saenz De Santamaria (AUS),2.0,3.0,,00:00,70,70 m,RED,0.0,DQOTHER,One Breath Jamboree,Depth Competition,2013-10-30,other,2013-10-30,Christina Saenz De Santamaria,AUS,10,4,2,1
10,Christine Armie Marquez (PHL),2.0,1.0,1.0,17:31,40,40 m,RED,0.0,"Dqother,dqbo-surface",AIDA Panglao Depth Championship - Event 1,Depth Competition,2021-05-06,Panglao,2021-05-06,Christine Armie Marquez,PHL,5,1,1,2
12,Christine Armie Marquez (PHL),2.0,1.0,1.0,10:49,41,41 m,RED,0.0,Dqbo-uw,AIDA PANGLAO DEPTH GAMES,Depth Competition,2022-09-11,Panglao,2022-09-11,Christine Armie Marquez,PHL,9,3,3,2
14,Christine Armie Marquez (PHL),2.0,1.0,1.0,11:10,41,41 m,RED,0.0,Dqbo-uw,AIDA Panglao Depth Championship 2022 - Encore!,Depth Competition,2022-09-16,Panglao,2022-09-16,Christine Armie Marquez,PHL,9,4,4,2
14,Claire Walsh (IRL),2.0,1.0,,00:00,28,28 m,RED,0.0,DQBO (surface),Red C cup (10th edition),Mixed Competition,2018-05-30,other,2018-05-30,Claire Walsh,IRL,5,3,2,2
30,Clementine Marie (FRA),2.0,1.0,1.0,13:32,44,17 m,RED,0.0,"Rpap,no tag,dqsp",AIDA NICE ABYSS CONTEST 2022,Depth Competition,2022-06-25,NAC,2022-06-25,Clementine Marie,FRA,6,9,5,2
7,Cortex Lo (CHN),2.0,2.0,,00:00,45,45 m,RED,0.0,Dqbo,AFA Depth Nationals 2018,Depth Competition,2018-10-22,other,2018-10-22,Cortex Lo,CHN,10,1,1,1
11,Cortex Lo (CHN),2.0,2.0,,00:00,48,48 m,RED,0.0,Dqbo,AFA Depth Nationals 2018,Depth Competition,2018-10-24,other,2018-10-24,Cortex Lo,CHN,10,3,3,1
10,Cristina Kümmel (DNK),2.0,1.0,,00:00,44,-2 m,RED,0.0,DQBO,Deans Blue Hole Crew,Depth Competition,2009-12-02,other,2009-12-02,Cristina Kümmel,DNK,12,11,3,2
9,Cui Xinyue (CHN),2.0,3.0,,00:00,0,0 m,RED,0.0,DNS,Deeper Blue Freediving Depth Competition 2018,Depth Competition,2018-07-24,other,2018-07-24,Cui Xinyue,CHN,7,2,1,1
6,Dagmar Andres-Brümmer (DEU),2.0,3.0,,00:00,42,42 m,RED,0.0,DQSP,Schweizer und Deutsche Meisterschaft im Tieftauchen 3023,Depth Competition,2012-08-18,other,2012-08-18,Dagmar Andres-Brümmer,DEU,8,1,1,1
27,Danai Varveri (GRC),2.0,1.0,,00:00,32,-2 m,RED,0.0,DQBO,AIDA Hellas Summer Apnea Games 2011,Depth Competition,2011-09-11,other,2011-09-11,Danai Varveri,GRC,9,1,1,2
17,Danai Varveri (GRC),2.0,3.0,,00:00,50,39 m,RED,-12.0,DQOTHER,"AIDA Hellas, SUMMER APNEA GAMES 2012",Depth Competition,2012-09-29,other,2012-09-29,Danai Varveri,GRC,9,3,1,1
6,Danai Varveri (GRC),2.0,1.0,,00:00,41,41 m,RED,0.0,DQBO,Little Blue Hole Competition,Mixed Competition,2014-08-01,other,2014-08-01,Danai Varveri,GRC,8,7,4,2
